TESTNUM,POINTNUM,TIME,POSIT,FORCE,EXT,CH5,CH6,CH7,CH8
887,1,8.754,0,44.99522781,0.0001375,,,,
887,2,8.847,0,45.16176605,0.000275,,,,
887,3,11.152,0,57.19415283,-0.00061415,,,,
887,4,12.149,0,69.86888885,-0.00103582,,,,
887,5,12.751,0,82.24620819,-0.00118248,,,,
887,6,13.052,0,94.09416962,-0.0011275,,,,
887,7,13.45,0,108.826767,-0.00070583,,,,
887,8,13.751,0,122.8694,0,,,,
887,9,14.048,0,138.5119629,0.00198912,,,,
887,10,14.35,0,163.4388733,0.00265829,,,,
887,11,14.55,0,177.2554016,0.00274077,,,,
887,12,14.753,0,191.9640656,0.00305243,,,,
887,13,14.948,0,209.1231384,0.00343744,,,,
887,14,15.149,0,227.4955139,0.00406992,,,,
887,15,15.348,0,246.6529541,0.00427157,,,,
887,16,15.552,0,278.3657837,0.00496823,,,,
887,17,15.751,0,300.3184509,0.00554573,,,,
887,18,15.952,0,322.3900452,0.00603154,,,,
887,19,16.048,0,334.4636536,0.0063432,,,,
887,20,16.15,0,347.2153015,0.00650819,,,,
887,21,16.252,0,360.0977783,0.00684734,,,,
887,22,16.351,0,372.6887817,0.00722319,,,,
887,23,16.447,0,385.6723022,0.007434,,,,
887,24,16.549,0,399.3933105,0.00774566,,,,
887,25,16.651,0,413.3759766,0.007874,,,,
887,26,16.748,0,427.6203308,0.00819482,,,,
887,27,16.85,0,455.2167969,0.00875399,,,,
887,28,16.952,0,469.389679,0.00905648,,,,
887,29,17.049,0,483.5744324,0.00920314,,,,
887,30,17.151,0,497.7948608,0.00942312,,,,
887,31,17.253,0,513.401062,0.0097898,,,,
887,32,17.349,0,529.1796875,0.00981729,,,,
887,33,17.448,0,544.8214722,0.00978064,,,,
887,34,17.551,0,560.3621216,0.01021147,,,,
887,35,17.647,0,576.420166,0.01044061,,,,
887,36,17.749,0,592.0737915,0.01065142,,,,
887,37,17.847,0,608.3815308,0.01114644,,,,
887,38,17.951,0,625.3613281,0.01152225,,,,
887,39,18.047,0,660.986084,0.01242056,,,,
887,40,18.251,0,700.0422974,0.01349304,,,,
887,41,18.347,0,720.9174194,0.01401555,,,,
887,42,18.449,0,743.2198486,0.01466636,,,,
887,43,18.551,0,765.6411743,0.01509719,,,,
887,44,18.647,0,788.4311523,0.015894661,,,,
887,45,18.75,0,811.5600586,0.016573001,,,,
887,46,18.852,0,835.1170654,0.01720548,,,,
887,47,18.951,0,859.3520508,0.017993789,,,,
887,48,19.048,0,884.8476563,0.018855451,,,,
887,49,19.151,0,911.0510254,0.019827081,,,,
887,50,19.253,0,963.1779785,0.02149537,,,,
887,51,19.452,0,1015.958679,0.02357617,,,,
887,52,19.549,0,1041.94751,0.02451114,,,,
887,53,19.651,0,1069.345703,0.025794471,,,,
887,54,19.753,0,1097.171875,0.027077761,,,,
887,55,19.849,0,1124.825684,0.028516909,,,,
887,56,19.947,0,1152.461548,0.030029381,,,,
