Time(s) 	 Filtered Altitude MSL(m) 	 Filtered Altitude AGL(m) 	 Filtered Velocity(m/s) 	 Filtered Acceleration(m/s/s) 	 Altitude MSL(m)  	 Altitude AGL(m) 	 Velocity(m/s) 	 Acceleration (m/s/s) 	 Chute Arm 	 Chute Release15.36	7.94	-150.83	0.52	0.03	158.76	-0.01	10.34	0.67	0	0
26.54	157.80	-0.97	-0.20	-0.13	157.37	-1.40	-1.08	-7.10	0	0
26.73	157.79	-0.99	-0.07	0.66	157.96	-0.82	3.15	22.74	0	0
26.91	157.79	-0.98	0.03	0.58	157.74	-1.03	-1.15	-23.10	0	0
27.10	157.79	-0.98	-0.01	-0.23	157.81	-0.96	0.38	8.19	0	0
27.28	157.79	-0.98	-0.02	-0.04	157.71	-1.06	-0.55	-4.98	0	0
27.48	157.78	-1.00	-0.06	-0.25	157.62	-1.15	-0.48	0.36	0	0
27.66	157.78	-0.99	0.02	0.43	157.99	-0.78	1.99	13.26	0	0
27.85	157.78	-0.99	-0.01	-0.12	157.54	-1.23	-2.42	-23.72	0	0
28.03	157.74	-1.03	-0.18	-0.94	157.34	-1.43	-1.07	7.30	0	0
28.22	157.74	-1.03	-0.00	0.97	158.14	-0.63	4.29	28.84	0	0
28.40	157.81	-0.97	0.33	1.77	158.57	-0.21	2.28	-10.81	0	0
28.59	157.89	-0.88	0.46	0.73	158.77	-0.00	1.09	-6.42	0	0
28.78	157.97	-0.80	0.41	-0.29	158.54	-0.24	-1.24	-12.52	0	0
28.96	158.05	-0.72	0.46	0.29	159.12	0.35	3.14	23.57	0	0
29.15	158.16	-0.61	0.56	0.52	159.11	0.33	-0.09	-17.08	0	0
29.34	158.26	-0.51	0.54	-0.13	159.21	0.44	0.56	3.45	0	0
29.52	158.35	-0.42	0.50	-0.20	159.17	0.40	-0.22	-4.19	0	0
29.70	158.44	-0.33	0.50	-0.01	159.33	0.55	0.88	6.13	0	0
29.89	158.54	-0.23	0.51	0.08	159.52	0.74	1.00	0.63	0	0
30.08	158.62	-0.15	0.44	-0.38	159.22	0.45	-1.60	-13.90	0	0
30.27	158.69	-0.08	0.37	-0.37	159.42	0.65	1.08	14.41	0	0
