Time(s) 	 Filtered Altitude MSL(m) 	 Filtered Altitude AGL(m) 	 Filtered Velocity(m/s) 	 Filtered Acceleration(m/s/s) 	 Altitude MSL(m)  	 Altitude AGL(m) 	 Velocity(m/s) 	 Acceleration (m/s/s)1.17	4.42	-289.11	3.76	3.20	88.32	-205.20	75.17	63.97
12.80	88.49	-205.04	0.05	-0.04	88.55	-204.98	-0.27	-2.94
12.97	88.50	-205.03	0.05	-0.04	88.59	-204.94	0.23	2.83
13.15	88.51	-205.02	0.05	0.04	88.59	-204.93	0.01	-1.25
13.32	88.51	-205.01	0.03	-0.14	88.52	-205.00	-0.38	-2.29
13.49	88.51	-205.01	0.02	-0.05	88.57	-204.96	0.25	3.68
13.67	88.52	-205.01	0.03	0.03	88.55	-204.97	-0.09	-2.00
13.84	88.52	-205.00	0.01	-0.12	88.51	-205.02	-0.26	-0.94
14.01	88.52	-205.01	-0.01	-0.08	88.51	-205.02	-0.00	1.45
14.19	88.52	-205.01	-0.00	0.03	88.52	-205.00	0.11	0.65
14.36	88.52	-205.01	-0.01	-0.03	88.49	-205.04	-0.22	-1.88
14.53	88.51	-205.01	-0.04	-0.19	88.41	-205.11	-0.45	-1.31
14.72	88.50	-205.02	-0.05	-0.04	88.44	-205.08	0.16	3.33
14.89	88.50	-205.03	-0.02	0.18	88.51	-205.01	0.41	1.40
15.06	88.51	-205.02	0.06	0.42	88.69	-204.84	1.01	3.48
15.24	88.52	-205.00	0.07	0.05	88.56	-204.97	-0.75	-10.16
15.41	88.52	-205.00	0.01	-0.32	88.51	-205.01	-0.24	2.89
15.58	88.52	-205.00	0.02	0.06	88.60	-204.93	0.47	4.10
15.76	88.53	-204.99	0.05	0.18	88.63	-204.89	0.21	-1.49
15.93	88.54	-204.98	0.06	0.03	88.63	-204.90	-0.02	-1.32
16.10	88.55	-204.98	0.03	-0.13	88.57	-204.95	-0.33	-1.74
16.28	88.55	-204.97	0.01	-0.11	88.57	-204.95	0.00	1.86
16.49	88.55	-204.97	-0.01	-0.10	88.49	-205.03	-0.37	-1.73
16.67	88.54	-204.98	-0.05	-0.22	88.44	-205.08	-0.29	0.44
16.84	88.53	-204.99	-0.05	-0.04	88.45	-205.07	0.06	2.01
17.01	88.53	-204.99	-0.01	0.26	88.58	-204.94	0.73	3.87
17.20	88.54	-204.99	0.04	0.24	88.61	-204.91	0.18	-2.92
17.40	88.55	-204.98	0.05	0.08	88.66	-204.86	0.26	0.42
17.61	88.55	-204.97	0.02	-0.13	88.53	-205.00	-0.63	-4.14
17.79	88.55	-204.98	-0.03	-0.28	88.48	-205.04	-0.25	2.18
17.96	88.54	-204.98	-0.02	0.04	88.54	-204.98	0.33	3.34
18.13	88.55	-204.98	0.01	0.15	88.57	-204.95	0.16	-0.96
18.31	88.55	-204.97	0.04	0.19	88.66	-204.87	0.51	1.97
18.48	88.56	-204.96	0.07	0.17	88.68	-204.84	0.15	-2.06
