Time(s) 	 Filtered Altitude MSL(m) 	 Filtered Velocity(m/s) 	 Filtered Acceleration(m/s/s) 	 Altitude(m) 	 Velocity(m/s) 	 Acceleration (m/s/s)35.85	45.98	1.28	0.04	919.61	25.65	0.72
51.50	106.26	0.01	0.21	106.27	-0.07	-4.84
51.67	106.26	0.01	-0.03	106.27	-0.02	0.32
51.85	106.26	-0.01	-0.07	106.23	-0.20	-1.05
52.02	106.26	0.01	0.10	106.33	0.53	4.30
52.19	106.27	0.06	0.25	106.39	0.37	-0.94
52.37	106.28	0.06	0.03	106.36	-0.15	-3.06
52.54	106.29	0.04	-0.12	106.34	-0.13	0.14
52.71	106.29	0.02	-0.14	106.29	-0.27	-0.78
52.88	106.29	-0.00	-0.12	106.28	-0.10	0.96
53.06	106.29	-0.01	-0.02	106.28	0.04	0.82
53.23	106.29	-0.03	-0.12	106.21	-0.46	-2.87
53.40	106.28	-0.04	-0.05	106.24	0.22	3.95
53.57	106.28	-0.01	0.12	106.26	0.11	-0.65
53.74	106.28	0.01	0.17	106.34	0.43	1.83
53.92	106.28	0.02	0.05	106.31	-0.17	-3.32
54.10	106.29	0.02	-0.03	106.33	0.11	1.66
54.27	106.29	0.05	0.16	106.41	0.49	2.16
