     Alpha       T1_Re3.000_M0.00_N9.0         Alpha       T1_Re9.000_M0.00_N9.0    
         14.5          58.59974             12          111.0492  
        14.75          56.49728          12.25          110.0597  
           15          54.38094           12.5          108.9112  
        15.25          52.24616          12.75          107.3618  
         15.5          50.14269             13          105.6089  
        15.75          48.08394          13.25          103.7332  
           16          46.07498           13.5          101.6998  
        16.25           44.1162          13.75          99.59677  
         16.5          42.21121          14.25          95.13293  
        16.75           40.3603           14.5          92.27449  
           17           38.5602          14.75          89.33665  
        17.25          36.80661             15          86.34052  
         17.5           35.0836          15.25          83.30795  
        17.75          33.39925           15.5          80.24625  
           18          31.73931          15.75          77.16304  
        18.25          30.07887             16          74.06123  
         18.5          28.39598          16.25          70.95494  
        18.75          26.69046           16.5          67.85874  
           19          24.99099          16.75          64.79063  
        19.25          23.31181             17          61.88152  
         19.5          21.62554          17.25          59.47392  
        19.75           20.3121           17.5          57.12783  
           20           19.2671          17.75          54.84911  
        20.25           18.2517             18          52.63967  
         20.5          17.24261          18.25          50.52392  
        20.75          16.25993           18.5          48.49493  
           21          15.33401          18.75          46.52501  
        21.25          14.39979             19          44.59412  
         21.5            13.527          19.25          42.71898  
        21.75          12.68595           19.5          40.90221  
           22           11.8679          19.75          39.13569  
        22.25          11.10271             20            37.438  
         22.5          10.38649          20.25          35.81504  
        22.75          9.715999           20.5          34.25191  
           23          9.102938          20.75           32.7284  
        23.25          8.548075             21          31.23716  
         23.5          8.017141          21.25          29.79914  
        23.75           7.54679           21.5          28.41881  
           24          7.134557          21.75          27.09689  
        24.25          6.779269             22          25.83144  
         24.5          6.457308          22.25          24.61543  
        24.75           6.16353           22.5          23.44743  
           25          5.899163          22.75          22.32504  
                                            23          21.24012  
                                         23.25          20.18441  
                                          23.5          19.15481  
                                         23.75           18.1567  
                                            24          17.20256  
                                         24.25          16.30519  
                                          24.5          15.37343  
                                         24.75          14.52808  
                                            25           13.7244  

