     Xtr top       T1_Re3.000_M0.00_N9.0         Xtr top       T1_Re9.000_M0.00_N9.0    
    0.0118876          1.272605     0.01139435          1.148383  
   0.01175225          1.291782     0.01070896          1.173875  
   0.01157826          1.307157    0.009867517           1.19901  
   0.01139665          1.321011    0.009747537          1.224471  
   0.01122724          1.333643    0.009566293          1.249584  
   0.01106759          1.344145    0.009339732          1.274289  
   0.01036563          1.399748    0.009080887          1.298535  
   0.01017085          1.411234    0.008806476          1.322306  
  0.009975446          1.421239    0.008527239          1.345618  
  0.009854309          1.431662    0.008286517          1.368423  
  0.009809324          1.444412    0.008091284          1.390632  
   0.00975585           1.45663    0.008057586          1.412911  
  0.009689297          1.468499    0.008031535          1.434638  
  0.009608137          1.480012    0.007999239          1.455654  
  0.009518408          1.490975    0.007960327          1.475793  
  0.009429434          1.501312    0.007918204          1.491505  
  0.009349494          1.510829    0.007872298          1.505052  
  0.009271647           1.51976    0.007818255          1.518526  
  0.009195294          1.528177    0.007753938          1.532082  
  0.009121227          1.535952    0.007683136          1.545415  
  0.009049558          1.543181    0.007612322          1.557833  
  0.008980309          1.549909    0.007472628           1.58317  
  0.008913395          1.556088    0.007398441          1.596272  
  0.008848185          1.561779    0.007321117          1.608998  
  0.008783991          1.566839    0.007238992          1.621374  
  0.008719339             1.571    0.007150923           1.63331  
   0.00864934          1.574415    0.007056389          1.644799  
  0.008571982          1.576807    0.006951141           1.65573  
  0.008488149          1.577676    0.006837888          1.666024  
  0.008400148          1.576746    0.006724943          1.675669  
  0.008313154          1.573674     0.00662194          1.684517  
  0.008233217          1.568404    0.006537378          1.692707  
  0.008163467          1.561098    0.006479616          1.700621  
  0.008101426          1.550868    0.006473518          1.710083  
  0.008069192           1.54457    0.006466798          1.719144  
  0.008055612          1.541587    0.006459426          1.727683  
   0.00804126          1.537388    0.006451249          1.735909  
  0.008026547          1.531459    0.006441563          1.743972  
  0.008011435           1.52421    0.006429978          1.751736  
  0.007995572          1.516237    0.006416339          1.759056  
  0.007980743          1.505728    0.006400769          1.765828  
   0.00796556           1.49461    0.006383607          1.772115  
  0.007951127          1.481878     0.00636584          1.777737  
  0.007938047          1.467058    0.006348465          1.782811  
  0.007925028          1.451334     0.00633055          1.787452  
  0.007912393          1.434593     0.00631149          1.791604  
  0.007900398          1.416743    0.006291423          1.795149  
  0.007887925          1.398737     0.00627042          1.798014  
  0.007874199          1.380932    0.006248671           1.80002  
  0.007861205          1.361647    0.006226177          1.801213  
  0.007844452          1.343471    0.006201978          1.801803  
  0.007822756          1.326767    0.006175786          1.801829  
  0.007793836          1.312158    0.006147818          1.801197  
  0.007758962           1.29833    0.006118507          1.799725  
  0.007717615          1.285157    0.006088056          1.797597  
   0.00766957           1.27297    0.006057133          1.794697  
                                   0.006026647          1.790715  
                                   0.005997152          1.785629  
                                   0.005969048          1.779328  
                                   0.005942456          1.771734  
                                   0.005916728          1.763054  
                                   0.005890543          1.753936  
                                   0.005866771          1.741567  
                                   0.005842337          1.729131  
                                   0.005818065          1.715764  

