Scan #,Time,Uniaxial Gage C2A-13-250LW-120 on S1-Ch1 microstrain,Uniaxial Gage C2A-13-250LW-120 on S1-Ch2 microstrain
757,0.00:00:07.57,32.00,-8.00
758,0.00:00:07.58,32.00,-8.00
759,0.00:00:07.59,32.00,-8.00
760,0.00:00:07.60,32.00,-8.00
761,0.00:00:07.61,32.00,-8.00
762,0.00:00:07.62,32.00,-8.00
763,0.00:00:07.63,32.00,-8.00
764,0.00:00:07.64,32.00,-8.00
765,0.00:00:07.65,32.00,-8.00
766,0.00:00:07.66,32.00,-8.00
767,0.00:00:07.67,32.00,-8.00
768,0.00:00:07.68,32.00,-8.00
769,0.00:00:07.69,32.00,-8.00
770,0.00:00:07.70,32.00,-8.00
771,0.00:00:07.71,32.00,-8.00
772,0.00:00:07.72,32.00,-8.00
773,0.00:00:07.73,32.00,-7.00
774,0.00:00:07.74,32.00,-8.00
775,0.00:00:07.75,32.00,-8.00
776,0.00:00:07.76,32.00,-8.00
777,0.00:00:07.77,32.00,-8.00
778,0.00:00:07.78,33.00,-8.00
779,0.00:00:07.79,32.00,-8.00
780,0.00:00:07.80,32.00,-8.00
781,0.00:00:07.81,33.00,-7.00
782,0.00:00:07.82,32.00,-8.00
783,0.00:00:07.83,32.00,-8.00
784,0.00:00:07.84,32.00,-8.00
785,0.00:00:07.85,32.00,-8.00
786,0.00:00:07.86,32.00,-8.00
787,0.00:00:07.87,33.00,-8.00
788,0.00:00:07.88,33.00,-8.00
789,0.00:00:07.89,32.00,-8.00
790,0.00:00:07.90,33.00,-8.00
791,0.00:00:07.91,32.00,-8.00
792,0.00:00:07.92,32.00,-8.00
793,0.00:00:07.93,32.00,-8.00
794,0.00:00:07.94,32.00,-7.00
795,0.00:00:07.95,32.00,-8.00
796,0.00:00:07.96,32.00,-8.00
797,0.00:00:07.97,32.00,-8.00
798,0.00:00:07.98,32.00,-8.00
799,0.00:00:07.99,32.00,-8.00
800,0.00:00:08.00,32.00,-8.00
801,0.00:00:08.01,32.00,-8.00
802,0.00:00:08.02,32.00,-8.00
803,0.00:00:08.03,32.00,-8.00
804,0.00:00:08.04,32.00,-8.00
805,0.00:00:08.05,32.00,-8.00
806,0.00:00:08.06,32.00,-8.00
807,0.00:00:08.07,32.00,-8.00
808,0.00:00:08.08,32.00,-8.00
809,0.00:00:08.09,32.00,-8.00
810,0.00:00:08.10,32.00,-7.00
811,0.00:00:08.11,32.00,-8.00
812,0.00:00:08.12,32.00,-8.00
813,0.00:00:08.13,32.00,-8.00
814,0.00:00:08.14,31.00,-8.00
815,0.00:00:08.15,31.00,-8.00
816,0.00:00:08.16,32.00,-8.00
817,0.00:00:08.17,32.00,-7.00
818,0.00:00:08.18,31.00,-8.00
819,0.00:00:08.19,31.00,-8.00
820,0.00:00:08.20,32.00,-8.00
821,0.00:00:08.21,31.00,-8.00
822,0.00:00:08.22,31.00,-8.00
823,0.00:00:08.23,31.00,-8.00
824,0.00:00:08.24,31.00,-7.00
825,0.00:00:08.25,31.00,-8.00
826,0.00:00:08.26,31.00,-8.00
827,0.00:00:08.27,31.00,-8.00
828,0.00:00:08.28,32.00,-7.00
829,0.00:00:08.29,31.00,-7.00
830,0.00:00:08.30,31.00,-8.00
831,0.00:00:08.31,31.00,-7.00
832,0.00:00:08.32,31.00,-8.00
833,0.00:00:08.33,31.00,-8.00
834,0.00:00:08.34,31.00,-8.00
835,0.00:00:08.35,31.00,-8.00
836,0.00:00:08.36,31.00,-8.00
837,0.00:00:08.37,31.00,-8.00
838,0.00:00:08.38,31.00,-8.00
839,0.00:00:08.39,31.00,-8.00
840,0.00:00:08.40,31.00,-8.00
841,0.00:00:08.41,31.00,-8.00
842,0.00:00:08.42,31.00,-8.00
843,0.00:00:08.43,31.00,-7.00
844,0.00:00:08.44,31.00,-8.00
845,0.00:00:08.45,31.00,-8.00
846,0.00:00:08.46,31.00,-7.00
