Scan #,Time,Uniaxial Gage C2A-13-250LW-120 on S1-Ch1 microstrain,Uniaxial Gage C2A-13-250LW-120 on S1-Ch2 microstrain
9453,0.00:01:34.53,11919.00,-415.00
9454,0.00:01:34.54,11919.00,-415.00
9455,0.00:01:34.55,11920.00,-414.00
9456,0.00:01:34.56,11920.00,-415.00
9457,0.00:01:34.57,11920.00,-415.00
9458,0.00:01:34.58,11920.00,-415.00
9459,0.00:01:34.59,11920.00,-415.00
9460,0.00:01:34.60,11920.00,-415.00
9461,0.00:01:34.61,11920.00,-415.00
9462,0.00:01:34.62,11921.00,-415.00
9463,0.00:01:34.63,11921.00,-415.00
9464,0.00:01:34.64,11920.00,-415.00
9465,0.00:01:34.65,11921.00,-415.00
9466,0.00:01:34.66,11921.00,-415.00
9467,0.00:01:34.67,11921.00,-415.00
9468,0.00:01:34.68,11921.00,-415.00
9469,0.00:01:34.69,11921.00,-415.00
9470,0.00:01:34.70,11921.00,-415.00
9471,0.00:01:34.71,11921.00,-415.00
9472,0.00:01:34.72,11921.00,-415.00
9473,0.00:01:34.73,11921.00,-415.00
9474,0.00:01:34.74,11922.00,-415.00
9475,0.00:01:34.75,11922.00,-415.00
9476,0.00:01:34.76,11923.00,-415.00
9477,0.00:01:34.77,11923.00,-415.00
9478,0.00:01:34.78,11923.00,-415.00
9479,0.00:01:34.79,11923.00,-415.00
9480,0.00:01:34.80,11923.00,-415.00
9481,0.00:01:34.81,11923.00,-415.00
9482,0.00:01:34.82,11923.00,-415.00
9483,0.00:01:34.83,11923.00,-415.00
9484,0.00:01:34.84,11924.00,-415.00
9485,0.00:01:34.85,11924.00,-415.00
9486,0.00:01:34.86,11924.00,-415.00
9487,0.00:01:34.87,11924.00,-415.00
9488,0.00:01:34.88,11924.00,-415.00
9489,0.00:01:34.89,11924.00,-415.00
9490,0.00:01:34.90,11924.00,-415.00
9491,0.00:01:34.91,11924.00,-415.00
9492,0.00:01:34.92,11924.00,-415.00
9493,0.00:01:34.93,11924.00,-415.00
9494,0.00:01:34.94,11925.00,-415.00
9495,0.00:01:34.95,11925.00,-415.00
9496,0.00:01:34.96,11925.00,-416.00
9497,0.00:01:34.97,11925.00,-415.00
9498,0.00:01:34.98,11925.00,-416.00
9499,0.00:01:34.99,11926.00,-415.00
9500,0.00:01:35.00,11926.00,-415.00
9501,0.00:01:35.01,11926.00,-415.00
9502,0.00:01:35.02,11926.00,-415.00
9503,0.00:01:35.03,11926.00,-416.00
9504,0.00:01:35.04,11926.00,-415.00
9505,0.00:01:35.05,11926.00,-415.00
9506,0.00:01:35.06,11926.00,-416.00
9507,0.00:01:35.07,11926.00,-415.00
9508,0.00:01:35.08,11926.00,-415.00
9509,0.00:01:35.09,11926.00,-416.00
9510,0.00:01:35.10,11926.00,-415.00
9511,0.00:01:35.11,11926.00,-415.00
9512,0.00:01:35.12,11926.00,-415.00
9513,0.00:01:35.13,11927.00,-416.00
9514,0.00:01:35.14,11927.00,-415.00
9515,0.00:01:35.15,11927.00,-416.00
9516,0.00:01:35.16,11927.00,-415.00
9517,0.00:01:35.17,11927.00,-416.00
9518,0.00:01:35.18,11927.00,-416.00
9519,0.00:01:35.19,11927.00,-416.00
9520,0.00:01:35.20,11928.00,-416.00
9521,0.00:01:35.21,11928.00,-416.00
9522,0.00:01:35.22,11928.00,-416.00
9523,0.00:01:35.23,11928.00,-415.00
9524,0.00:01:35.24,11928.00,-416.00
9525,0.00:01:35.25,11928.00,-416.00
9526,0.00:01:35.26,11929.00,-416.00
9527,0.00:01:35.27,11929.00,-416.00
9528,0.00:01:35.28,11929.00,-416.00
9529,0.00:01:35.29,11929.00,-416.00
9530,0.00:01:35.30,11930.00,-416.00
9531,0.00:01:35.31,11929.00,-415.00
9532,0.00:01:35.32,11930.00,-416.00
9533,0.00:01:35.33,11930.00,-416.00
9534,0.00:01:35.34,11930.00,-416.00
9535,0.00:01:35.35,11930.00,-416.00
9536,0.00:01:35.36,11930.00,-416.00
9537,0.00:01:35.37,11930.00,-416.00
9538,0.00:01:35.38,11930.00,-416.00
9539,0.00:01:35.39,11930.00,-416.00
9540,0.00:01:35.40,11930.00,-416.00
9541,0.00:01:35.41,11930.00,-416.00
9542,0.00:01:35.42,11930.00,-416.00
9543,0.00:01:35.43,11930.00,-416.00
9544,0.00:01:35.44,11930.00,-416.00
9545,0.00:01:35.45,11930.00,-416.00
9546,0.00:01:35.46,11930.00,-416.00
9547,0.00:01:35.47,11930.00,-416.00
9548,0.00:01:35.48,11931.00,-416.00
9549,0.00:01:35.49,11930.00,-416.00
9550,0.00:01:35.50,11931.00,-416.00
9551,0.00:01:35.51,11930.00,-416.00
9552,0.00:01:35.52,11930.00,-416.00
9553,0.00:01:35.53,11930.00,-416.00
9554,0.00:01:35.54,11930.00,-416.00
9555,0.00:01:35.55,11930.00,-416.00
9556,0.00:01:35.56,11931.00,-416.00
9557,0.00:01:35.57,11930.00,-416.00
9558,0.00:01:35.58,11931.00,-416.00
9559,0.00:01:35.59,11931.00,-416.00
9560,0.00:01:35.60,11931.00,-416.00
9561,0.00:01:35.61,11931.00,-416.00
9562,0.00:01:35.62,11931.00,-416.00
9563,0.00:01:35.63,11930.00,-416.00
9564,0.00:01:35.64,11931.00,-416.00
9565,0.00:01:35.65,11931.00,-417.00
9566,0.00:01:35.66,11931.00,-416.00
9567,0.00:01:35.67,11931.00,-416.00
9568,0.00:01:35.68,11932.00,-416.00
9569,0.00:01:35.69,11932.00,-416.00
9570,0.00:01:35.70,11932.00,-416.00
9571,0.00:01:35.71,11932.00,-416.00
9572,0.00:01:35.72,11932.00,-417.00
9573,0.00:01:35.73,11932.00,-416.00
9574,0.00:01:35.74,11932.00,-416.00
9575,0.00:01:35.75,11932.00,-416.00
9576,0.00:01:35.76,11932.00,-416.00
9577,0.00:01:35.77,11932.00,-416.00
9578,0.00:01:35.78,11932.00,-416.00
9579,0.00:01:35.79,11932.00,-416.00
9580,0.00:01:35.80,11932.00,-416.00
9581,0.00:01:35.81,11932.00,-416.00
9582,0.00:01:35.82,11932.00,-416.00
9583,0.00:01:35.83,11932.00,-416.00
9584,0.00:01:35.84,11932.00,-416.00
9585,0.00:01:35.85,11933.00,-416.00
9586,0.00:01:35.86,11933.00,-417.00
9587,0.00:01:35.87,11933.00,-416.00
9588,0.00:01:35.88,11933.00,-416.00
9589,0.00:01:35.89,11933.00,-416.00
9590,0.00:01:35.90,11934.00,-416.00
9591,0.00:01:35.91,11934.00,-417.00
9592,0.00:01:35.92,11934.00,-417.00
9593,0.00:01:35.93,11934.00,-416.00
9594,0.00:01:35.94,11935.00,-416.00
9595,0.00:01:35.95,11935.00,-417.00
9596,0.00:01:35.96,11935.00,-416.00
9597,0.00:01:35.97,11935.00,-416.00
9598,0.00:01:35.98,11935.00,-417.00
9599,0.00:01:35.99,11935.00,-416.00
9600,0.00:01:36.00,11936.00,-416.00
9601,0.00:01:36.01,11936.00,-416.00
9602,0.00:01:36.02,11936.00,-416.00
9603,0.00:01:36.03,11936.00,-417.00
9604,0.00:01:36.04,11936.00,-416.00
9605,0.00:01:36.05,11936.00,-417.00
9606,0.00:01:36.06,11936.00,-416.00
9607,0.00:01:36.07,11936.00,-416.00
9608,0.00:01:36.08,11936.00,-417.00
9609,0.00:01:36.09,11937.00,-416.00
9610,0.00:01:36.10,11937.00,-417.00
9611,0.00:01:36.11,11936.00,-417.00
9612,0.00:01:36.12,11937.00,-416.00
9613,0.00:01:36.13,11936.00,-417.00
9614,0.00:01:36.14,11937.00,-416.00
9615,0.00:01:36.15,11937.00,-417.00
9616,0.00:01:36.16,11937.00,-416.00
9617,0.00:01:36.17,11938.00,-417.00
9618,0.00:01:36.18,11938.00,-417.00
9619,0.00:01:36.19,11938.00,-416.00
9620,0.00:01:36.20,11938.00,-417.00
9621,0.00:01:36.21,11938.00,-417.00
9622,0.00:01:36.22,11938.00,-417.00
9623,0.00:01:36.23,11938.00,-416.00
9624,0.00:01:36.24,11938.00,-417.00
9625,0.00:01:36.25,11939.00,-417.00
9626,0.00:01:36.26,11939.00,-417.00
9627,0.00:01:36.27,11939.00,-417.00
9628,0.00:01:36.28,11938.00,-416.00
9629,0.00:01:36.29,11938.00,-417.00
9630,0.00:01:36.30,11938.00,-417.00
9631,0.00:01:36.31,11938.00,-417.00
9632,0.00:01:36.32,11938.00,-417.00
9633,0.00:01:36.33,11938.00,-417.00
9634,0.00:01:36.34,11938.00,-417.00
9635,0.00:01:36.35,11939.00,-417.00
9636,0.00:01:36.36,11939.00,-417.00
9637,0.00:01:36.37,11940.00,-417.00
9638,0.00:01:36.38,11939.00,-417.00
9639,0.00:01:36.39,11940.00,-417.00
9640,0.00:01:36.40,11940.00,-417.00
9641,0.00:01:36.41,11940.00,-417.00
9642,0.00:01:36.42,11940.00,-417.00
9643,0.00:01:36.43,11940.00,-417.00
9644,0.00:01:36.44,11940.00,-417.00
9645,0.00:01:36.45,11940.00,-417.00
9646,0.00:01:36.46,11940.00,-417.00
9647,0.00:01:36.47,11941.00,-417.00
9648,0.00:01:36.48,11941.00,-417.00
9649,0.00:01:36.49,11941.00,-417.00
9650,0.00:01:36.50,11941.00,-417.00
9651,0.00:01:36.51,11941.00,-417.00
9652,0.00:01:36.52,11941.00,-417.00
9653,0.00:01:36.53,11941.00,-417.00
9654,0.00:01:36.54,11941.00,-417.00
9655,0.00:01:36.55,11941.00,-417.00
9656,0.00:01:36.56,11942.00,-417.00
9657,0.00:01:36.57,11942.00,-417.00
9658,0.00:01:36.58,11942.00,-417.00
9659,0.00:01:36.59,11942.00,-417.00
9660,0.00:01:36.60,11942.00,-417.00
9661,0.00:01:36.61,11943.00,-417.00
9662,0.00:01:36.62,11943.00,-417.00
9663,0.00:01:36.63,11943.00,-417.00
9664,0.00:01:36.64,11943.00,-417.00
9665,0.00:01:36.65,11943.00,-417.00
9666,0.00:01:36.66,11943.00,-417.00
9667,0.00:01:36.67,11943.00,-417.00
9668,0.00:01:36.68,11943.00,-417.00
9669,0.00:01:36.69,11944.00,-417.00
9670,0.00:01:36.70,11944.00,-417.00
9671,0.00:01:36.71,11944.00,-417.00
9672,0.00:01:36.72,11944.00,-417.00
9673,0.00:01:36.73,11944.00,-417.00
9674,0.00:01:36.74,11944.00,-417.00
9675,0.00:01:36.75,11944.00,-417.00
9676,0.00:01:36.76,11945.00,-417.00
9677,0.00:01:36.77,11945.00,-417.00
9678,0.00:01:36.78,11945.00,-417.00
9679,0.00:01:36.79,11945.00,-417.00
9680,0.00:01:36.80,11945.00,-417.00
9681,0.00:01:36.81,11945.00,-417.00
9682,0.00:01:36.82,11945.00,-417.00
9683,0.00:01:36.83,11945.00,-417.00
9684,0.00:01:36.84,11945.00,-417.00
9685,0.00:01:36.85,11945.00,-417.00
9686,0.00:01:36.86,11945.00,-417.00
9687,0.00:01:36.87,11945.00,-417.00
9688,0.00:01:36.88,11945.00,-417.00
9689,0.00:01:36.89,11945.00,-417.00
9690,0.00:01:36.90,11945.00,-417.00
9691,0.00:01:36.91,11946.00,-417.00
9692,0.00:01:36.92,11946.00,-418.00
9693,0.00:01:36.93,11947.00,-417.00
9694,0.00:01:36.94,11946.00,-417.00
9695,0.00:01:36.95,11947.00,-417.00
9696,0.00:01:36.96,11947.00,-417.00
9697,0.00:01:36.97,11947.00,-417.00
9698,0.00:01:36.98,11947.00,-417.00
9699,0.00:01:36.99,11948.00,-417.00
9700,0.00:01:37.00,11947.00,-417.00
9701,0.00:01:37.01,11948.00,-417.00
9702,0.00:01:37.02,11948.00,-417.00
9703,0.00:01:37.03,11948.00,-417.00
9704,0.00:01:37.04,11948.00,-417.00
9705,0.00:01:37.05,11948.00,-418.00
9706,0.00:01:37.06,11948.00,-418.00
9707,0.00:01:37.07,11948.00,-418.00
9708,0.00:01:37.08,11948.00,-418.00
9709,0.00:01:37.09,11948.00,-418.00
9710,0.00:01:37.10,11948.00,-418.00
9711,0.00:01:37.11,11949.00,-417.00
9712,0.00:01:37.12,11949.00,-417.00
9713,0.00:01:37.13,11949.00,-418.00
9714,0.00:01:37.14,11949.00,-417.00
9715,0.00:01:37.15,11949.00,-418.00
9716,0.00:01:37.16,11950.00,-418.00
9717,0.00:01:37.17,11950.00,-418.00
9718,0.00:01:37.18,11950.00,-418.00
9719,0.00:01:37.19,11950.00,-418.00
9720,0.00:01:37.20,11951.00,-418.00
9721,0.00:01:37.21,11951.00,-418.00
9722,0.00:01:37.22,11950.00,-418.00
9723,0.00:01:37.23,11951.00,-418.00
9724,0.00:01:37.24,11950.00,-417.00
9725,0.00:01:37.25,11951.00,-418.00
9726,0.00:01:37.26,11951.00,-418.00
9727,0.00:01:37.27,11951.00,-418.00
9728,0.00:01:37.28,11951.00,-418.00
9729,0.00:01:37.29,11951.00,-418.00
9730,0.00:01:37.30,11951.00,-418.00
9731,0.00:01:37.31,11951.00,-418.00
9732,0.00:01:37.32,11951.00,-418.00
9733,0.00:01:37.33,11951.00,-417.00
9734,0.00:01:37.34,11951.00,-418.00
9735,0.00:01:37.35,11951.00,-418.00
9736,0.00:01:37.36,11951.00,-417.00
9737,0.00:01:37.37,11951.00,-418.00
9738,0.00:01:37.38,11951.00,-417.00
9739,0.00:01:37.39,11951.00,-418.00
9740,0.00:01:37.40,11952.00,-418.00
9741,0.00:01:37.41,11952.00,-418.00
9742,0.00:01:37.42,11952.00,-418.00
9743,0.00:01:37.43,11952.00,-418.00
9744,0.00:01:37.44,11951.00,-418.00
9745,0.00:01:37.45,11952.00,-418.00
9746,0.00:01:37.46,11952.00,-418.00
9747,0.00:01:37.47,11951.00,-418.00
9748,0.00:01:37.48,11952.00,-418.00
9749,0.00:01:37.49,11952.00,-418.00
9750,0.00:01:37.50,11952.00,-418.00
9751,0.00:01:37.51,11952.00,-418.00
9752,0.00:01:37.52,11953.00,-418.00
9753,0.00:01:37.53,11953.00,-418.00
9754,0.00:01:37.54,11953.00,-418.00
9755,0.00:01:37.55,11953.00,-418.00
9756,0.00:01:37.56,11953.00,-418.00
9757,0.00:01:37.57,11953.00,-418.00
9758,0.00:01:37.58,11953.00,-418.00
9759,0.00:01:37.59,11954.00,-418.00
9760,0.00:01:37.60,11954.00,-418.00
9761,0.00:01:37.61,11954.00,-418.00
9762,0.00:01:37.62,11954.00,-418.00
9763,0.00:01:37.63,11954.00,-418.00
9764,0.00:01:37.64,11954.00,-418.00
9765,0.00:01:37.65,11955.00,-418.00
9766,0.00:01:37.66,11954.00,-418.00
9767,0.00:01:37.67,11955.00,-418.00
9768,0.00:01:37.68,11955.00,-418.00
9769,0.00:01:37.69,11955.00,-418.00
9770,0.00:01:37.70,11955.00,-418.00
9771,0.00:01:37.71,11956.00,-418.00
9772,0.00:01:37.72,11956.00,-418.00
9773,0.00:01:37.73,11956.00,-418.00
9774,0.00:01:37.74,11956.00,-418.00
9775,0.00:01:37.75,11956.00,-418.00
9776,0.00:01:37.76,11956.00,-418.00
9777,0.00:01:37.77,11956.00,-418.00
9778,0.00:01:37.78,11956.00,-418.00
9779,0.00:01:37.79,11956.00,-418.00
9780,0.00:01:37.80,11957.00,-418.00
9781,0.00:01:37.81,11956.00,-418.00
9782,0.00:01:37.82,11956.00,-418.00
9783,0.00:01:37.83,11956.00,-418.00
9784,0.00:01:37.84,11957.00,-418.00
9785,0.00:01:37.85,11957.00,-418.00
9786,0.00:01:37.86,11956.00,-418.00
9787,0.00:01:37.87,11956.00,-418.00
9788,0.00:01:37.88,11957.00,-418.00
9789,0.00:01:37.89,11957.00,-418.00
9790,0.00:01:37.90,11957.00,-418.00
9791,0.00:01:37.91,11957.00,-418.00
9792,0.00:01:37.92,11957.00,-418.00
9793,0.00:01:37.93,11957.00,-418.00
9794,0.00:01:37.94,11958.00,-418.00
9795,0.00:01:37.95,11958.00,-418.00
9796,0.00:01:37.96,11958.00,-418.00
9797,0.00:01:37.97,11958.00,-418.00
9798,0.00:01:37.98,11958.00,-418.00
9799,0.00:01:37.99,11958.00,-418.00
9800,0.00:01:38.00,11958.00,-418.00
9801,0.00:01:38.01,11958.00,-418.00
9802,0.00:01:38.02,11958.00,-418.00
9803,0.00:01:38.03,11958.00,-418.00
9804,0.00:01:38.04,11958.00,-418.00
9805,0.00:01:38.05,11958.00,-418.00
9806,0.00:01:38.06,11959.00,-418.00
9807,0.00:01:38.07,11959.00,-418.00
9808,0.00:01:38.08,11959.00,-418.00
9809,0.00:01:38.09,11959.00,-418.00
9810,0.00:01:38.10,11959.00,-418.00
9811,0.00:01:38.11,11959.00,-419.00
9812,0.00:01:38.12,11960.00,-418.00
9813,0.00:01:38.13,11960.00,-418.00
9814,0.00:01:38.14,11960.00,-418.00
9815,0.00:01:38.15,11960.00,-418.00
9816,0.00:01:38.16,11960.00,-418.00
9817,0.00:01:38.17,11960.00,-418.00
9818,0.00:01:38.18,11961.00,-418.00
9819,0.00:01:38.19,11961.00,-418.00
9820,0.00:01:38.20,11961.00,-418.00
9821,0.00:01:38.21,11961.00,-418.00
9822,0.00:01:38.22,11961.00,-418.00
9823,0.00:01:38.23,11961.00,-418.00
9824,0.00:01:38.24,11961.00,-418.00
9825,0.00:01:38.25,11961.00,-418.00
9826,0.00:01:38.26,11961.00,-418.00
9827,0.00:01:38.27,11962.00,-418.00
9828,0.00:01:38.28,11962.00,-418.00
9829,0.00:01:38.29,11962.00,-418.00
9830,0.00:01:38.30,11962.00,-419.00
9831,0.00:01:38.31,11962.00,-418.00
9832,0.00:01:38.32,11962.00,-419.00
9833,0.00:01:38.33,11962.00,-418.00
9834,0.00:01:38.34,11963.00,-418.00
9835,0.00:01:38.35,11963.00,-418.00
9836,0.00:01:38.36,11963.00,-418.00
9837,0.00:01:38.37,11963.00,-419.00
9838,0.00:01:38.38,11963.00,-418.00
9839,0.00:01:38.39,11963.00,-418.00
9840,0.00:01:38.40,11964.00,-418.00
9841,0.00:01:38.41,11964.00,-418.00
9842,0.00:01:38.42,11964.00,-419.00
9843,0.00:01:38.43,11964.00,-419.00
9844,0.00:01:38.44,11964.00,-419.00
9845,0.00:01:38.45,11964.00,-418.00
9846,0.00:01:38.46,11964.00,-418.00
9847,0.00:01:38.47,11964.00,-419.00
9848,0.00:01:38.48,11965.00,-419.00
9849,0.00:01:38.49,11965.00,-418.00
9850,0.00:01:38.50,11965.00,-419.00
9851,0.00:01:38.51,11965.00,-419.00
9852,0.00:01:38.52,11965.00,-419.00
9853,0.00:01:38.53,11966.00,-418.00
9854,0.00:01:38.54,11966.00,-418.00
9855,0.00:01:38.55,11966.00,-419.00
9856,0.00:01:38.56,11966.00,-419.00
9857,0.00:01:38.57,11966.00,-419.00
9858,0.00:01:38.58,11966.00,-419.00
9859,0.00:01:38.59,11966.00,-419.00
9860,0.00:01:38.60,11966.00,-419.00
9861,0.00:01:38.61,11966.00,-418.00
9862,0.00:01:38.62,11966.00,-419.00
9863,0.00:01:38.63,11966.00,-419.00
9864,0.00:01:38.64,11966.00,-419.00
9865,0.00:01:38.65,11966.00,-418.00
9866,0.00:01:38.66,11966.00,-419.00
9867,0.00:01:38.67,11967.00,-419.00
9868,0.00:01:38.68,11967.00,-419.00
9869,0.00:01:38.69,11966.00,-419.00
9870,0.00:01:38.70,11967.00,-419.00
9871,0.00:01:38.71,11967.00,-419.00
9872,0.00:01:38.72,11967.00,-419.00
9873,0.00:01:38.73,11967.00,-419.00
9874,0.00:01:38.74,11968.00,-419.00
9875,0.00:01:38.75,11968.00,-419.00
9876,0.00:01:38.76,11968.00,-419.00
9877,0.00:01:38.77,11968.00,-419.00
9878,0.00:01:38.78,11968.00,-419.00
9879,0.00:01:38.79,11968.00,-419.00
9880,0.00:01:38.80,11968.00,-419.00
9881,0.00:01:38.81,11968.00,-419.00
9882,0.00:01:38.82,11968.00,-419.00
9883,0.00:01:38.83,11968.00,-419.00
9884,0.00:01:38.84,11969.00,-419.00
9885,0.00:01:38.85,11969.00,-419.00
9886,0.00:01:38.86,11969.00,-418.00
9887,0.00:01:38.87,11969.00,-419.00
9888,0.00:01:38.88,11969.00,-419.00
9889,0.00:01:38.89,11969.00,-419.00
9890,0.00:01:38.90,11969.00,-419.00
9891,0.00:01:38.91,11969.00,-419.00
9892,0.00:01:38.92,11969.00,-419.00
9893,0.00:01:38.93,11970.00,-419.00
9894,0.00:01:38.94,11970.00,-419.00
9895,0.00:01:38.95,11970.00,-419.00
9896,0.00:01:38.96,11970.00,-419.00
9897,0.00:01:38.97,11970.00,-419.00
9898,0.00:01:38.98,11970.00,-419.00
9899,0.00:01:38.99,11970.00,-419.00
9900,0.00:01:39.00,11970.00,-419.00
9901,0.00:01:39.01,11970.00,-419.00
9902,0.00:01:39.02,11970.00,-419.00
9903,0.00:01:39.03,11970.00,-419.00
9904,0.00:01:39.04,11970.00,-419.00
9905,0.00:01:39.05,11970.00,-419.00
9906,0.00:01:39.06,11969.00,-419.00
9907,0.00:01:39.07,11969.00,-419.00
9908,0.00:01:39.08,11969.00,-419.00
9909,0.00:01:39.09,11969.00,-419.00
9910,0.00:01:39.10,11969.00,-419.00
9911,0.00:01:39.11,11969.00,-419.00
9912,0.00:01:39.12,11969.00,-419.00
9913,0.00:01:39.13,11969.00,-419.00
9914,0.00:01:39.14,11969.00,-419.00
9915,0.00:01:39.15,11970.00,-419.00
9916,0.00:01:39.16,11969.00,-419.00
9917,0.00:01:39.17,11969.00,-419.00
9918,0.00:01:39.18,11970.00,-419.00
9919,0.00:01:39.19,11969.00,-419.00
9920,0.00:01:39.20,11969.00,-419.00
9921,0.00:01:39.21,11969.00,-419.00
9922,0.00:01:39.22,11969.00,-419.00
9923,0.00:01:39.23,11970.00,-419.00
9924,0.00:01:39.24,11970.00,-419.00
9925,0.00:01:39.25,11971.00,-419.00
9926,0.00:01:39.26,11971.00,-419.00
9927,0.00:01:39.27,11972.00,-419.00
9928,0.00:01:39.28,11972.00,-419.00
9929,0.00:01:39.29,11972.00,-419.00
9930,0.00:01:39.30,11973.00,-419.00
9931,0.00:01:39.31,11974.00,-419.00
9932,0.00:01:39.32,11974.00,-420.00
9933,0.00:01:39.33,11975.00,-419.00
9934,0.00:01:39.34,11975.00,-419.00
9935,0.00:01:39.35,11975.00,-419.00
9936,0.00:01:39.36,11976.00,-419.00
9937,0.00:01:39.37,11976.00,-419.00
9938,0.00:01:39.38,11976.00,-420.00
9939,0.00:01:39.39,11976.00,-419.00
9940,0.00:01:39.40,11977.00,-419.00
9941,0.00:01:39.41,11977.00,-419.00
9942,0.00:01:39.42,11977.00,-419.00
9943,0.00:01:39.43,11978.00,-420.00
9944,0.00:01:39.44,11978.00,-420.00
9945,0.00:01:39.45,11978.00,-419.00
9946,0.00:01:39.46,11978.00,-420.00
9947,0.00:01:39.47,11979.00,-420.00
9948,0.00:01:39.48,11979.00,-419.00
9949,0.00:01:39.49,11979.00,-420.00
9950,0.00:01:39.50,11979.00,-420.00
9951,0.00:01:39.51,11979.00,-420.00
9952,0.00:01:39.52,11980.00,-420.00
9953,0.00:01:39.53,11980.00,-420.00
9954,0.00:01:39.54,11980.00,-420.00
9955,0.00:01:39.55,11980.00,-420.00
9956,0.00:01:39.56,11981.00,-420.00
9957,0.00:01:39.57,11981.00,-420.00
9958,0.00:01:39.58,11981.00,-420.00
9959,0.00:01:39.59,11981.00,-420.00
9960,0.00:01:39.60,11981.00,-420.00
9961,0.00:01:39.61,11981.00,-420.00
9962,0.00:01:39.62,11981.00,-420.00
9963,0.00:01:39.63,11981.00,-420.00
9964,0.00:01:39.64,11981.00,-420.00
9965,0.00:01:39.65,11981.00,-420.00
9966,0.00:01:39.66,11982.00,-420.00
9967,0.00:01:39.67,11982.00,-419.00
9968,0.00:01:39.68,11982.00,-420.00
9969,0.00:01:39.69,11982.00,-420.00
9970,0.00:01:39.70,11983.00,-420.00
9971,0.00:01:39.71,11983.00,-420.00
9972,0.00:01:39.72,11983.00,-420.00
9973,0.00:01:39.73,11983.00,-419.00
9974,0.00:01:39.74,11983.00,-420.00
9975,0.00:01:39.75,11983.00,-420.00
9976,0.00:01:39.76,11983.00,-420.00
9977,0.00:01:39.77,11983.00,-420.00
9978,0.00:01:39.78,11984.00,-420.00
9979,0.00:01:39.79,11983.00,-420.00
9980,0.00:01:39.80,11984.00,-420.00
9981,0.00:01:39.81,11984.00,-420.00
9982,0.00:01:39.82,11983.00,-420.00
9983,0.00:01:39.83,11983.00,-420.00
9984,0.00:01:39.84,11983.00,-420.00
9985,0.00:01:39.85,11983.00,-420.00
9986,0.00:01:39.86,11984.00,-420.00
9987,0.00:01:39.87,11985.00,-420.00
9988,0.00:01:39.88,11985.00,-420.00
9989,0.00:01:39.89,11985.00,-420.00
9990,0.00:01:39.90,11986.00,-420.00
9991,0.00:01:39.91,11986.00,-420.00
9992,0.00:01:39.92,11986.00,-420.00
9993,0.00:01:39.93,11987.00,-420.00
9994,0.00:01:39.94,11986.00,-420.00
9995,0.00:01:39.95,11987.00,-420.00
9996,0.00:01:39.96,11988.00,-420.00
9997,0.00:01:39.97,11988.00,-420.00
9998,0.00:01:39.98,11987.00,-420.00
9999,0.00:01:39.99,11987.00,-420.00
10000,0.00:01:40.00,11988.00,-420.00
10001,0.00:01:40.01,11988.00,-420.00
10002,0.00:01:40.02,11988.00,-420.00
10003,0.00:01:40.03,11988.00,-420.00
10004,0.00:01:40.04,11988.00,-420.00
10005,0.00:01:40.05,11988.00,-420.00
10006,0.00:01:40.06,11988.00,-420.00
10007,0.00:01:40.07,11988.00,-420.00
10008,0.00:01:40.08,11988.00,-420.00
10009,0.00:01:40.09,11989.00,-420.00
10010,0.00:01:40.10,11989.00,-420.00
10011,0.00:01:40.11,11989.00,-420.00
10012,0.00:01:40.12,11989.00,-421.00
10013,0.00:01:40.13,11990.00,-421.00
10014,0.00:01:40.14,11990.00,-420.00
10015,0.00:01:40.15,11990.00,-420.00
10016,0.00:01:40.16,11990.00,-420.00
10017,0.00:01:40.17,11990.00,-421.00
10018,0.00:01:40.18,11990.00,-420.00
10019,0.00:01:40.19,11990.00,-420.00
10020,0.00:01:40.20,11990.00,-420.00
10021,0.00:01:40.21,11990.00,-420.00
10022,0.00:01:40.22,11990.00,-420.00
10023,0.00:01:40.23,11990.00,-420.00
10024,0.00:01:40.24,11990.00,-420.00
10025,0.00:01:40.25,11990.00,-420.00
10026,0.00:01:40.26,11990.00,-420.00
10027,0.00:01:40.27,11990.00,-420.00
10028,0.00:01:40.28,11990.00,-420.00
10029,0.00:01:40.29,11991.00,-420.00
10030,0.00:01:40.30,11991.00,-421.00
10031,0.00:01:40.31,11991.00,-421.00
10032,0.00:01:40.32,11991.00,-420.00
10033,0.00:01:40.33,11992.00,-420.00
10034,0.00:01:40.34,11992.00,-420.00
10035,0.00:01:40.35,11992.00,-420.00
10036,0.00:01:40.36,11992.00,-420.00
10037,0.00:01:40.37,11992.00,-420.00
10038,0.00:01:40.38,11992.00,-420.00
10039,0.00:01:40.39,11992.00,-420.00
10040,0.00:01:40.40,11992.00,-420.00
10041,0.00:01:40.41,11992.00,-420.00
10042,0.00:01:40.42,11992.00,-420.00
10043,0.00:01:40.43,11992.00,-420.00
10044,0.00:01:40.44,11992.00,-420.00
10045,0.00:01:40.45,11992.00,-420.00
10046,0.00:01:40.46,11993.00,-421.00
10047,0.00:01:40.47,11994.00,-421.00
10048,0.00:01:40.48,11994.00,-420.00
10049,0.00:01:40.49,11994.00,-421.00
10050,0.00:01:40.50,11994.00,-420.00
10051,0.00:01:40.51,11994.00,-420.00
10052,0.00:01:40.52,11994.00,-420.00
10053,0.00:01:40.53,11994.00,-420.00
10054,0.00:01:40.54,11995.00,-421.00
10055,0.00:01:40.55,11995.00,-420.00
10056,0.00:01:40.56,11995.00,-420.00
10057,0.00:01:40.57,11995.00,-421.00
